station_id, name, longitude, latitude, altitude, source
000012, GRAZ, 15.450000, 47.083100, 366, ECA&D
000013, INNSBRUCK, 11.400000, 47.266700, 577, ECA&D
000014, SALZBURG, 13.000000, 47.800000, 437, ECA&D
000015, SONNBLICK, 12.950000, 47.050000, 3106, ECA&D
000016, WIEN, 16.350000, 48.233100, 198, ECA&D
000017, UCCLE, 4.366400, 50.800000, 100, ECA&D
000021, ZAGREB-GRIC, 15.978100, 45.816700, 156, ECA&D
000028, HELSINKI-KAISANIEMI, 24.947800, 60.175000, 4, ECA&D
000029, JYVASKYLA-LENTOASEMA, 25.678300, 62.401900, 139, ECA&D
000030, SODANKYLA, 26.633100, 67.365800, 179, ECA&D
000032, BOURGES, 2.366700, 47.066700, 161, ECA&D
000038, PARIS-14E, 2.336700, 48.823100, 75, ECA&D
000039, MARSEILLE-MARIGNANE, 5.226700, 43.441700, 5, ECA&D
000042, BREMEN, 8.799200, 53.046400, 4, ECA&D
000048, HOHENPEISSENBERG, 11.011700, 47.801700, 977, ECA&D
000054, POTSDAM, 13.063900, 52.383300, 81, ECA&D
000058, ZUGSPITZE, 10.986700, 47.421900, 2964, ECA&D
000059, CORFU, 19.916700, 39.616700, 11, ECA&D
000062, LARISSA, 22.450000, 39.650000, 72, ECA&D
000063, METHONI, 21.700000, 36.833100, 51, ECA&D
000107, VESTERVIG, 8.316700, 56.766700, 18, ECA&D
000113, TRANEBJERG, 10.600000, 55.850000, 11, ECA&D
000173, MILAN, 9.189200, 45.471700, 150, ECA&D
000175, CAGLIARI, 9.050000, 39.233100, 21, ECA&D
000176, ROMA-CIAMPINO, 12.583100, 41.783100, 105, ECA&D
000177, VERONA-VILLAFRANCA, 10.866700, 45.383100, 68, ECA&D
000190, KARASJOK, 25.503100, 69.466700, 129, ECA&D
000191, KJOEREMSGRENDE, 9.050000, 62.100000, 626, ECA&D
000192, FAERDER, 10.530000, 59.026700, 6, ECA&D
000194, UTSIRA, 4.878100, 59.307800, 55, ECA&D
000195, VARDOE, 31.084400, 70.366900, 14, ECA&D
000200, KAUNAS, 23.833100, 54.883100, 77, ECA&D
000201, KLAIPEDA, 21.066700, 55.733100, 6, ECA&D
